title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
The Shawshank Redemption,1994,1990,R,14 Oct 1994,142 min,"Crime, Drama",Frank Darabont,"Stephen King (short story """"Rita Hayworth and Shawshank Redemption""""), Frank Darabont (screenplay)","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",English,USA,Nominated for 7 Oscars. Another 19 wins & 30 nominations.,https://images-na.ssl-images-amazon.com/images/I/71TO64qm%2BbL._AC_SY741_.jpg,Internet Movie Database,9.3/10,80,9.3,"1,825,626",tt0111161,27 Jan 1998,N/A,Columbia Pictures,N/A,True,http://www.rottentomatoes.com/m/shawshank_redemption/
The Godfather,1972,1970,R,24 Mar 1972,175 min,"Crime, Drama",Francis Ford Coppola,"Mario Puzo (screenplay), Francis Ford Coppola (screenplay), Mario Puzo (novel)","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"English, Italian, Latin",USA,Won 3 Oscars. Another 23 wins & 27 nominations.,https://i.pinimg.com/originals/7f/26/33/7f2633c6f599a1b082533c90b145b14a.jpg,Internet Movie Database,9.2/10,100,9.2,"1,243,444",tt0068646,09 Oct 2001,N/A,Paramount Pictures,http://www.thegodfather.com,True,http://www.rottentomatoes.com/m/godfather/
The Godfather: Part II,1974,1970,R,20 Dec 1974,202 min,"Crime, Drama",Francis Ford Coppola,"Francis Ford Coppola (screenplay), Mario Puzo (screenplay), Mario Puzo (novel)","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro","The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.","English, Italian, Spanish, Latin, Sicilian",USA,Won 6 Oscars. Another 10 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Internet Movie Database,9.0/10,85,9.0,"856,870",tt0071562,24 May 2005,N/A,Paramount Pictures,http://www.thegodfather.com/,True,http://www.rottentomatoes.com/m/godfather_part_ii/
The Dark Knight,2008,2000,PG-13,18 Jul 2008,152 min,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","English, Mandarin","USA, UK",Won 2 Oscars. Another 151 wins & 153 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,Internet Movie Database,9.0/10,82,9.0,"1,802,351",tt0468569,09 Dec 2008,"$533,316,061",Warner Bros. Pictures/Legendary,http://thedarkknight.warnerbros.com/,True,http://www.rottentomatoes.com/m/the_dark_knight/
12 Angry Men,1957,1950,APPROVED,01 Apr 1957,96 min,"Crime, Drama",Sidney Lumet,"Reginald Rose (story), Reginald Rose (screenplay)","Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,English,USA,Nominated for 3 Oscars. Another 16 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX300.jpg,Internet Movie Database,8.9/10,96,8.9,"494,215",tt0050083,06 Mar 2001,N/A,Criterion Collection,http://www.criterion.com/films/27871-12-angry-men,True,http://www.rottentomatoes.com/m/1000013-12_angry_men/
Pulp Fiction,1994,1990,R,14 Oct 1994,154 min,"Crime, Drama",Quentin Tarantino,"Quentin Tarantino (stories), Roger Avary (stories), Quentin Tarantino","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","English, Spanish, French",USA,Won 1 Oscar. Another 60 wins & 68 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_SX300.jpg,Internet Movie Database,8.9/10,94,8.9,"1,427,451",tt0110912,19 May 1998,N/A,Miramax Films,N/A,True,http://www.rottentomatoes.com/m/pulp_fiction/
The Lord of the Rings: The Return of the King,2003,2000,PG-13,17 Dec 2003,201 min,"Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Noel Appleby, Ali Astin, Sean Astin, David Aston",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"English, Quenya, Old English, Sindarin","USA, New Zealand",Won 11 Oscars. Another 197 wins & 122 nominations.,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.9/10,94,8.9,"1,304,569",tt0167260,25 May 2004,"$364,000,000",New Line Cinema,http://www.lordoftherings.net/,True,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/
Schindler's List,1993,1990,R,04 Feb 1994,195 min,"Biography, Drama, History",Steven Spielberg,"Thomas Keneally (book), Steven Zaillian (screenplay)","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","English, Hebrew, German, Polish",USA,Won 7 Oscars. Another 71 wins & 33 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.9/10,93,8.9,"937,837",tt0108052,09 Mar 2004,N/A,Universal Pictures,http://www.schindlerslist.com,True,http://www.rottentomatoes.com/m/schindlers_list/
Anand,1971,1970,NOT RATED,12 Mar 1971,122 min,Drama,Hrishikesh Mukherjee,"Hrishikesh Mukherjee (story), Hrishikesh Mukherjee (screenplay), Gulzar (screenplay), D.N. Mukherjee (screenplay), Bimal Dutta (screenplay), Gulzar (dialogue)","Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","The story of a terminally ill man who wishes to live life to the full before the inevitable occurs, as told by his best friend.",Hindi,India,6 wins.,https://m.media-amazon.com/images/M/MV5BNTMzNGFlYmUtMTA0Ny00MzE1LTk1NjAtNjIxYzczZmQxNzk2XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,Internet Movie Database,8.9/10,N/A,8.9,"16,396",tt0066763,27 Jul 1999,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/anand/
Drishyam,2013,2010,NOT RATED,19 Dec 2013,160 min,"Crime, Drama, Thriller",Jeethu Joseph,Jeethu Joseph,"Mohanlal, Meena, Ansiba, Esther",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Malayalam,India,3 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,Internet Movie Database,8.9/10,N/A,8.9,"15,405",tt3417422,N/A,N/A,Fancy Digital,http://www.drishyamthemovie.com/,True,http://www.rottentomatoes.com/m/drishyam/
"The Good, the Bad and the Ugly",1966,1960,APPROVED,29 Dec 1967,178 min,Western,Sergio Leone,"Luciano Vincenzoni (story), Sergio Leone (story), Agenore Incrocci (screenplay), Furio Scarpelli (screenplay), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay), Mickey Knox (English version by)","Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Italian, English","Italy, Spain, West Germany",1 win & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SX300.jpg,Internet Movie Database,8.9/10,90,8.9,"539,526",tt0060196,18 Nov 1997,N/A,United Artists,N/A,True,http://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly/
Anbe Sivam,2003,2000,NOT RATED,14 Jan 2003,160 min,"Adventure, Comedy, Drama",Sundar C.,"Kamal Haasan (screenplay), Madan (dialogue)","Kamal Haasan, Madhavan, Kiran Rathod, Nassar","Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.","Tamil, Hindi",India,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjQwZWQwYjItNTIzNy00NmE5LWE1NjctZDE5MzgyMzY5YjljXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_SX300.jpg,Internet Movie Database,8.9/10,N/A,8.9,"8,928",tt0367495,23 May 2006,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/anbe-anbe/
